Date,Open,High,Low,Close,Volume
2024-08-21,103.2,104.72,102.97,104.6,"1,013,401"
2024-08-20,102.97,103.29,102.28,102.8,"700,724"
2024-08-19,102.54,103.47,102.36,103.0,"865,195"
2024-08-16,102.31,102.9,101.53,102.55,"801,677"
2024-08-15,101.43,102.35,100.95,101.65,"1,076,510"
2024-08-14,97.99,101.04,97.99,100.9,"1,239,143"
2024-08-13,98.56,98.56,96.81,97.73,"848,594"
2024-08-12,98.43,99.28,97.78,97.97,"740,707"
2024-08-09,98.4,98.95,97.87,98.79,"737,449"
2024-08-08,96.43,98.71,96.15,98.4,"1,091,827"
2024-08-07,96.37,97.97,96.35,96.8,"1,537,303"
2024-08-06,96.22,97.67,96.22,96.64,"1,402,003"
2024-08-05,100.33,100.57,94.41,96.06,"2,599,979"
2024-08-02,96.95,99.39,96.52,98.67,"3,584,653"
2024-08-01,96.18,97.22,94.08,97.1,"2,039,986"
2024-07-31,100.17,100.57,94.77,95.78,"2,449,662"
2024-07-30,97.57,99.08,97.5,98.2,"1,506,017"
2024-07-29,96.91,97.81,96.65,97.01,"1,131,101"
2024-07-26,94.89,97.87,94.56,96.91,"1,108,464"
2024-07-25,96.72,96.86,94.17,94.47,"1,366,761"
2024-07-24,97.0,97.53,96.24,96.4,"1,002,374"
2024-07-23,97.12,97.42,96.07,96.23,"605,328"
2024-07-22,96.13,97.23,95.79,96.57,"972,987"
2024-07-19,98.62,98.82,95.78,96.1,"1,029,054"
2024-07-18,97.84,99.2,97.69,98.24,"912,290"
2024-07-17,97.94,98.63,97.48,97.87,"1,049,224"
2024-07-16,97.16,98.27,96.86,97.11,"1,100,037"
2024-07-15,96.55,98.28,96.51,97.16,"1,271,360"
2024-07-12,97.31,97.64,96.44,96.5,"1,557,504"
2024-07-11,97.4,97.57,95.71,97.0,"1,702,311"
2024-07-10,98.2,98.39,97.32,97.5,"1,047,915"
2024-07-09,98.17,99.05,97.93,98.0,"1,460,668"
2024-07-08,98.57,99.57,98.24,98.26,"1,335,144"
2024-07-05,97.88,98.37,97.08,98.15,"1,411,057"
2024-07-03,99.92,100.2,97.34,97.65,"1,279,956"
2024-07-02,100.11,100.33,99.09,100.0,"1,249,456"
2024-07-01,101.97,102.34,100.58,100.65,"1,344,724"
2024-06-28,100.6,101.37,99.59,100.89,"3,818,454"
2024-06-27,100.24,101.22,99.24,101.02,"1,227,596"
2024-06-26,101.44,101.65,99.09,99.77,"1,370,634"
2024-06-25,102.52,103.44,101.93,102.15,"879,702"
2024-06-24,101.89,102.74,101.22,102.43,"1,431,004"
2024-06-21,102.33,102.44,100.61,101.89,"4,271,267"
2024-06-20,101.1,102.51,101.02,102.45,"1,530,750"
2024-06-18,99.7,101.52,99.32,100.8,"1,489,012"
2024-06-17,97.18,99.71,97.14,99.21,"1,176,580"
2024-06-14,98.4,99.38,97.14,97.26,"1,638,616"
2024-06-13,99.23,99.41,97.66,99.15,"1,105,443"
2024-06-12,99.65,99.74,97.61,99.16,"1,290,340"
2024-06-11,100.29,100.34,99.1,99.58,"1,530,151"
2024-06-10,100.44,100.91,99.67,100.58,"955,690"
2024-06-07,100.68,101.56,100.41,100.57,"803,535"
2024-06-06,100.38,101.0,99.62,100.08,"1,132,982"
2024-06-05,100.57,101.12,98.96,99.68,"1,480,068"
2024-06-04,101.93,102.3,100.04,100.86,"1,217,624"
2024-06-03,102.5,103.08,100.47,101.7,"1,747,081"
2024-05-31,101.44,103.48,101.35,102.63,"10,178,650"
2024-05-30,101.32,103.03,101.02,101.41,"2,421,939"
2024-05-29,102.35,102.74,101.3,101.55,"1,368,069"
2024-05-28,102.63,103.08,102.06,102.25,"1,722,471"
2024-05-24,102.41,103.39,102.19,103.36,"1,296,861"
2024-05-23,102.95,103.79,101.1,101.93,"1,685,079"
2024-05-22,102.01,103.3,101.94,102.7,"1,994,766"
2024-05-21,100.75,102.41,100.56,101.65,"1,681,073"
2024-05-20,101.03,101.26,100.14,100.17,"1,399,074"
2024-05-17,99.27,101.28,99.27,100.99,"1,484,877"
2024-05-16,98.5,99.37,98.45,98.82,"1,179,524"
2024-05-15,97.38,98.39,97.32,97.87,"1,474,393"
2024-05-14,97.83,98.31,97.29,97.9,"1,137,731"
2024-05-13,100.11,100.33,97.84,97.91,"1,171,209"
2024-05-10,100.21,100.86,99.75,100.05,"1,420,422"
2024-05-09,98.76,99.64,98.54,99.63,"859,741"
2024-05-08,98.21,99.7,98.21,98.93,"1,321,462"
2024-05-07,97.65,98.54,97.04,98.21,"1,316,246"
2024-05-06,94.76,97.17,94.76,97.14,"1,227,626"
2024-05-03,94.82,95.59,92.78,94.41,"1,696,539"
2024-05-02,95.73,96.44,94.5,95.17,"1,458,032"
2024-05-01,93.63,96.58,93.63,95.8,"2,578,318"
2024-04-30,92.5,94.04,90.55,93.54,"3,310,895"
2024-04-29,90.8,91.64,90.61,91.25,"2,812,186"
2024-04-26,92.11,92.43,90.78,90.9,"1,458,046"
2024-04-25,93.04,93.46,92.39,93.05,"1,181,605"
2024-04-24,93.27,93.67,92.71,93.19,"1,257,451"
2024-04-23,94.09,94.37,93.45,93.78,"1,459,376"
2024-04-22,93.66,94.6,93.0,93.85,"1,276,015"
2024-04-19,91.89,92.97,90.91,92.93,"1,527,630"
2024-04-18,91.32,91.92,90.89,91.39,"1,408,007"
2024-04-17,90.63,90.94,89.94,90.63,"1,015,984"
2024-04-16,90.25,91.19,89.6,90.86,"1,688,714"
2024-04-15,91.14,91.85,89.75,89.76,"1,762,686"
2024-04-12,91.31,91.72,89.23,89.98,"1,454,980"
2024-04-11,91.49,92.02,90.91,91.31,"1,369,355"
2024-04-10,91.34,92.64,91.16,92.19,"1,267,398"
2024-04-09,94.46,94.77,90.7,91.22,"2,371,093"
2024-04-08,94.83,94.97,93.72,94.55,"1,371,960"
2024-04-05,92.0,95.01,91.65,94.9,"2,591,481"
2024-04-04,92.19,92.64,90.83,91.09,"1,466,502"
2024-04-03,91.49,92.46,91.49,92.23,"1,451,451"
2024-04-02,92.57,92.93,91.24,91.49,"1,674,932"
2024-04-01,92.6,93.12,91.9,92.31,"1,361,237"
2024-03-28,91.92,92.57,91.17,92.44,"2,462,980"
2024-03-27,91.03,91.74,90.83,91.48,"3,025,533"
2024-03-26,90.94,91.56,90.22,90.59,"1,945,949"
2024-03-25,90.86,91.33,90.01,90.99,"2,071,177"
2024-03-22,90.83,90.84,89.95,90.68,"1,888,918"
2024-03-21,91.88,91.95,90.51,90.69,"2,040,349"
2024-03-20,91.59,92.58,91.3,92.23,"1,681,637"
2024-03-19,91.77,91.86,91.11,91.67,"1,581,049"
2024-03-18,91.38,91.75,90.75,91.4,"1,446,960"
2024-03-15,90.49,92.01,90.49,91.88,"3,505,550"
2024-03-14,91.2,91.55,90.46,91.03,"1,424,663"
2024-03-13,91.19,91.57,90.51,91.0,"1,592,209"
2024-03-12,90.31,90.97,89.73,90.92,"1,886,526"
2024-03-11,87.61,90.49,87.61,90.31,"2,107,867"
2024-03-08,87.55,88.05,87.01,87.61,"1,208,630"
2024-03-07,88.6,88.9,87.26,87.69,"2,051,299"
2024-03-06,87.39,88.89,86.84,88.82,"1,337,576"
2024-03-05,87.4,88.38,87.06,87.39,"1,201,998"
2024-03-04,87.17,87.56,86.56,87.14,"1,051,780"
2024-03-01,87.2,87.69,86.8,87.17,"1,225,926"
2024-02-29,88.09,88.13,86.41,87.59,"3,310,014"
2024-02-28,87.38,88.47,87.1,88.28,"1,247,782"
2024-02-27,87.13,87.31,86.16,87.22,"1,817,006"
2024-02-26,87.14,88.13,86.84,87.28,"1,548,613"
2024-02-23,85.91,87.34,85.79,87.29,"1,696,457"
2024-02-22,85.0,85.94,84.0,85.82,"1,721,754"
2024-02-21,86.23,86.25,83.97,84.71,"1,825,402"
2024-02-20,86.03,86.09,85.13,85.37,"1,871,944"
2024-02-16,88.42,88.77,86.02,86.11,"2,370,393"
2024-02-15,86.43,88.44,84.8,87.4,"2,431,239"
2024-02-14,84.0,85.37,83.91,84.87,"2,336,148"
2024-02-13,83.33,84.45,83.12,84.06,"1,586,140"
2024-02-12,83.58,83.61,82.75,83.1,"1,375,305"
2024-02-09,82.35,83.52,81.59,83.46,"1,130,943"
2024-02-08,83.97,84.24,80.97,82.76,"1,897,703"
2024-02-07,83.38,84.72,83.03,84.42,"1,385,323"
2024-02-06,83.98,84.15,83.17,83.3,"1,307,161"
2024-02-05,83.02,83.91,82.87,83.66,"1,804,127"
2024-02-02,83.16,83.64,82.6,83.3,"1,514,721"
2024-02-01,81.58,82.33,81.06,82.09,"1,841,546"
2024-01-31,80.99,82.78,80.98,82.43,"2,325,832"
2024-01-30,79.62,80.65,79.51,80.58,"1,036,857"
2024-01-29,79.27,79.83,79.0,79.73,"1,323,506"
2024-01-26,79.79,80.13,79.25,79.9,"1,321,863"
2024-01-25,80.0,80.48,78.67,79.6,"1,620,850"
2024-01-24,80.95,80.97,80.04,80.13,"1,486,684"
2024-01-23,80.43,81.02,80.01,80.34,"1,178,691"
2024-01-22,81.01,81.29,80.3,80.47,"1,641,498"
2024-01-19,79.66,81.37,79.66,80.88,"1,996,987"
2024-01-18,77.68,79.06,77.53,78.96,"1,801,940"
2024-01-17,77.94,79.29,77.94,78.67,"1,439,554"
2024-01-16,78.53,78.63,77.55,78.17,"1,468,300"
2024-01-12,77.73,78.1,77.06,77.69,"1,212,094"
2024-01-11,77.25,77.72,76.82,77.62,"1,314,935"
2024-01-10,76.24,77.31,76.24,76.96,"1,587,610"
2024-01-09,76.82,77.03,74.85,76.15,"1,839,084"
2024-01-08,77.15,77.3,75.72,77.12,"1,484,645"
2024-01-05,77.65,78.0,76.49,76.81,"2,073,991"
2024-01-04,77.72,78.46,77.3,77.47,"1,945,813"
2024-01-03,75.91,77.66,75.75,76.94,"2,213,929"
2024-01-02,74.61,75.74,74.28,75.55,"1,859,755"
2023-12-29,73.93,74.53,73.58,74.27,"1,332,313"
2023-12-28,73.72,74.27,73.51,74.06,"1,336,431"
2023-12-27,73.25,73.62,73.04,73.54,"950,850"
2023-12-26,74.0,74.0,73.19,73.51,"1,158,574"
2023-12-22,74.22,74.55,73.5,73.84,"1,303,434"
2023-12-21,73.41,74.23,73.2,74.16,"1,781,576"
2023-12-20,74.43,74.57,73.33,73.61,"1,564,199"
2023-12-19,74.68,75.11,74.36,74.83,"1,953,957"
2023-12-18,74.89,75.23,73.57,74.65,"1,849,617"
2023-12-15,74.33,74.8,72.85,73.42,"4,577,845"
2023-12-14,77.98,78.0,74.01,74.67,"3,856,340"
2023-12-13,80.15,80.37,77.94,78.38,"2,106,489"
2023-12-12,79.77,80.79,79.54,80.28,"1,372,193"
2023-12-11,79.33,80.74,79.33,79.61,"1,320,031"
2023-12-08,78.68,79.39,78.32,79.3,"1,372,916"
2023-12-07,80.02,80.43,78.2,78.34,"2,321,737"
2023-12-06,82.2,82.47,79.27,79.97,"1,797,032"
2023-12-05,82.01,82.5,81.28,81.85,"1,211,267"
2023-12-04,82.57,83.08,81.59,81.99,"1,662,565"
2023-12-01,83.7,84.53,82.54,82.63,"1,659,888"
2023-11-30,82.54,83.77,82.54,83.69,"3,726,921"
2023-11-29,84.11,84.39,82.1,82.38,"2,218,506"
2023-11-28,86.79,87.16,84.39,84.45,"1,621,127"
2023-11-27,86.64,87.44,86.24,87.0,"1,842,579"
2023-11-24,85.92,87.15,85.92,86.6,"741,453"
2023-11-22,86.06,86.87,85.0,85.95,"1,807,550"
2023-11-21,85.0,86.84,84.98,86.13,"1,356,325"
2023-11-20,83.6,84.73,83.51,84.46,"1,762,502"
2023-11-17,84.0,84.48,83.23,83.6,"1,883,526"
2023-11-16,83.08,84.6,82.78,83.71,"1,932,545"
2023-11-15,85.52,85.69,82.61,82.66,"2,829,098"
2023-11-14,86.6,86.74,84.84,85.5,"1,872,676"
2023-11-13,86.16,86.98,85.88,86.57,"1,681,182"
2023-11-10,85.1,86.14,84.67,85.95,"2,070,175"
2023-11-09,84.15,85.22,83.96,84.67,"2,357,571"
2023-11-08,85.3,85.97,83.56,84.12,"1,692,323"
2023-11-07,85.15,85.58,84.93,85.41,"1,647,818"
2023-11-06,85.8,85.95,84.5,85.16,"2,864,490"
2023-11-03,86.44,86.93,84.16,85.55,"2,658,879"
2023-11-02,89.68,90.29,85.1,85.94,"3,406,895"
2023-11-01,87.25,90.65,87.05,90.0,"4,031,591"
2023-10-31,85.21,87.5,85.0,86.68,"2,964,700"
2023-10-30,82.02,83.13,81.84,82.88,"1,741,040"
2023-10-27,82.07,82.2,81.01,81.36,"1,360,314"
2023-10-26,83.59,84.42,82.26,82.45,"1,735,038"
2023-10-25,83.37,85.53,83.27,83.49,"1,387,293"
2023-10-24,82.35,83.76,82.29,83.42,"1,334,193"
2023-10-23,83.19,83.68,81.86,81.86,"1,183,706"
2023-10-20,83.96,84.2,81.76,82.76,"5,433,626"
2023-10-19,85.48,86.37,83.77,83.78,"1,736,079"
2023-10-18,86.75,87.51,85.32,85.45,"2,029,255"
2023-10-17,85.44,87.14,85.44,86.62,"1,935,570"
2023-10-16,85.01,86.4,84.57,85.7,"2,134,605"
2023-10-13,83.66,84.46,83.17,84.16,"1,962,315"
2023-10-12,83.25,83.71,82.05,83.05,"1,608,095"
2023-10-11,82.0,83.11,81.65,83.02,"1,480,263"
2023-10-10,82.3,82.45,81.17,81.86,"1,526,002"
2023-10-09,81.9,82.25,81.19,82.07,"1,174,066"
2023-10-06,81.41,82.56,81.28,82.18,"1,672,636"
2023-10-05,80.89,81.81,80.7,81.64,"1,680,606"
2023-10-04,78.31,80.74,78.28,80.46,"1,608,185"
2023-10-03,79.26,79.49,77.18,77.96,"1,631,896"
2023-10-02,79.74,80.2,78.65,79.37,"1,495,876"
2023-09-29,81.72,81.81,79.47,79.71,"3,340,878"
2023-09-28,81.34,82.11,81.12,81.64,"1,466,568"
2023-09-27,81.25,81.46,80.25,81.08,"1,686,993"
2023-09-26,81.0,82.15,80.93,81.26,"1,430,851"
2023-09-25,80.63,81.35,80.43,81.15,"1,357,984"
2023-09-22,80.29,81.65,80.26,80.96,"1,559,859"
2023-09-21,81.0,81.53,80.26,80.29,"1,675,424"
2023-09-20,81.58,82.18,81.0,81.32,"2,107,271"
2023-09-19,80.65,81.36,80.27,81.2,"1,572,553"
2023-09-18,79.19,80.84,79.07,80.57,"1,213,994"
2023-09-15,79.02,79.37,78.6,79.0,"1,963,957"
2023-09-14,78.88,79.34,78.46,79.06,"1,222,103"
2023-09-13,78.82,79.37,78.08,78.33,"952,429"
2023-09-12,78.92,80.27,78.54,78.8,"1,167,228"
2023-09-11,77.53,78.82,77.53,78.8,"1,388,055"
2023-09-08,77.8,77.84,76.63,77.26,"1,330,114"
2023-09-07,76.33,78.11,76.33,77.87,"2,216,793"
2023-09-06,75.98,77.05,75.7,76.44,"922,844"
2023-09-05,76.85,77.05,75.68,75.86,"1,285,206"
2023-09-01,77.42,77.73,76.93,77.01,"880,234"
2023-08-31,77.17,77.34,76.46,76.86,"2,148,521"
2023-08-30,75.97,77.46,75.88,77.09,"1,779,930"
2023-08-29,74.27,76.04,74.0,75.75,"2,394,956"
2023-08-28,74.37,75.44,73.89,74.19,"1,740,338"
2023-08-25,75.47,75.61,74.49,74.62,"1,262,418"
2023-08-24,74.97,76.25,74.91,75.41,"1,189,784"
2023-08-23,74.52,75.76,74.52,75.4,"1,316,002"
2023-08-22,74.72,75.0,74.3,74.57,"854,592"
2023-08-21,75.65,75.7,73.74,74.95,"1,212,474"
